"INVOICEREFERENCE","PAYMENTREFERENCE","ORDERID","DISCOUNTTOTALAMOUNT","DISCOUNTCODE","DISCOUNTTYPE","DISCOUNTVALUE","WLOCATION","STOCKREFERENCE","SKU","QUANTITY","CURRENTPRICE","TOTALPRICE","TOTALQTY","DELIVERYCOUNTRYCODE","ORDERREFERENCE","IDORCONVERSIONID","CURRENCYCODE","ACTION","CODE","RETURNQTY","USER_DEF_TYPE_4","LOCK_CODE","ORDERTYPE","PRICEVERSIONID","SL_NO","COUNTRYCODE","COUNTRYSTATEPROVINCEAREACODE","LOCALITY","COUNTYSTATEPROVINCEAREA","COUNTRYNAME","CUSTOMERID","PRICETOPAY","PRICECURRENT","LANGUAGECODE","BROWSECOUNTRY","EAN","PREVIOUS","DISCOUNTMETHOD","SELLERID","SUBSCRIPTION_PRICE","ORDERTOTAL","GRANDTOTAL","PAYMENTMETHOD","LOC","SOURCEDESC","SOURCEID","SELLERDESC","ROW_NUM"
"JAN010788057","7cf130b1-15d5-4560-aac0-d85216545a4a","JAN010788057",13.5,"moreplease","Percentage",4.5,"FC01","900228126","113113637",3,10.5,31.5,31.5,"GB","JAN010788057",5910,"GBP","E","Receipt Return",1,"JAN010788057","AQL","Consumer","PRMP000002000200000004958458420220427020000",5,"GB","","Burnley","Lancs","UK","OCT040788057",1,1,"en-AU","GB","",15,"Product","SCAAFS",8,31.5,39.5,"Card",20002,"","","SCALPERS",5
"JAN010788057","7cf130b1-15d5-4560-aac0-d85216545a4a","JAN010788057",13.5,"moreplease","Percentage",4.5,"FC01","900228126","113113636",3,10.5,31.5,31.5,"GB","JAN010788057",5910,"GBP","E","Receipt Return",1,"JAN010788057","AQL","Consumer","PRMP000002000200000004958458420220427020000",6,"GB","","Burnley","Lancs","UK","OCT040788057",1,1,"en-AU","GB","",15,"Product","SCAAFS",8,31.5,39.5,"Card",20002,"","","SCALPERS",4
"JAN010788057","7cf130b1-15d5-4560-aac0-d85216545a4a","JAN010788057",13.5,"moreplease","Percentage",4.5,"FC01","900228126","113113632",3,10.5,31.5,31.5,"GB","JAN010788057",5910,"GBP","E","Receipt Return",1,"JAN010788057","AQL","Consumer","PRMP000002000200000004958458420220427020000",7,"GB","","Burnley","Lancs","UK","OCT040788057",1,1,"en-AU","GB","",15,"Product","SCAAFS",8,31.5,39.5,"Card",20002,"","","SCALPERS",3
"JAN010788058","85bb7f62-a36a-4571-a26a-76df9cacf370","JAN010788058",17.97,"moreplease","Percentage",5.99,"FC04","900164867","106258509",3,8,24,24,"GB","JAN010788058",5910,"GBP","E","Receipt Return",1,"JAN010788058","AQL","Consumer","PRMP000002000200000005107310820220427020000",8,"GB","","Burnley","Lancs","UK","OCT040788058",1,1,"en-AU","GB","",13.99,"Product","SCAAFS",8,24,32,"Card",20012,"","","SCALPERS",1
"JAN010788058","85bb7f62-a36a-4571-a26a-76df9cacf370","JAN010788058",23.97,"moreplease","Percentage",7.99,"FC04","900164867","106258518",3,6,18,18,"GB","JAN010788058",5910,"GBP","E","Receipt Return",1,"JAN010788058","AQL","Consumer","PRMP000002000200000004956248820220427020000",9,"GB","","Burnley","Lancs","UK","OCT040788058",1,1,"en-AU","GB","5057112334580",13.99,"Product","SCAAFS",8,18,26,"Card",20012,"","","SCALPERS",2
"JAN010788058","85bb7f62-a36a-4571-a26a-76df9cacf370","JAN010788058",42.75,"moreplease","Percentage",14.25,"FC01","900164867","113112482",3,21.75,65.25,65.25,"GB","JAN010788058",5910,"GBP","E","Receipt Return",1,"JAN010788058","AQL","Consumer","PRMP000002000200000004957046920220427020000",10,"GB","","Burnley","Lancs","UK","OCT040788058",1,1,"en-AU","GB","",36,"Product","SCAAFS",8,65.25,73.25,"Card",20002,"","","SCALPERS",3
"JAN010788058","85bb7f62-a36a-4571-a26a-76df9cacf370","JAN010788058",13.5,"moreplease","Percentage",4.5,"FC01","900164867","113113635",3,10.5,31.5,31.5,"GB","JAN010788058",5910,"GBP","E","Receipt Return",1,"JAN010788058","AQL","Consumer","PRMP000002000200000004958458420220427020000",11,"GB","","Burnley","Lancs","UK","OCT040788058",1,1,"en-AU","GB","",15,"Product","SCAAFS",8,31.5,39.5,"Card",20002,"","","SCALPERS",4
"JAN010788060","332bf061-a96e-426a-ad0c-f643e302d168","JAN010788060",50.97,"moreplease","Percentage",16.99,"FC04","900122619","12033975",3,23,69,69,"GB","JAN010788060",5910,"GBP","E","Receipt Return",1,"JAN010788060","AQL","Consumer","PRMP000002000200000005101387720220427020000",12,"GB","","Burnley","Lancs","UK","OCT040788060",1,1,"en-AU","GB","",39.99,"Product","SCAAFS",8,69,77,"Card",20012,"","","SCALPERS",5
"JAN010788060","332bf061-a96e-426a-ad0c-f643e302d168","JAN010788060",31.5,"moreplease","Percentage",10.5,"FC01","900122619","110929071",3,19.5,58.5,58.5,"GB","JAN010788060",5910,"GBP","E","Receipt Return",1,"JAN010788060","AQL","Consumer","PRMP000002000200000004957337620220427020000",13,"GB","","Burnley","Lancs","UK","OCT040788060",1,1,"en-AU","GB","",30,"Product","SCAAFS",8,58.5,66.5,"Card",20002,"","","SCALPERS",1
"JAN010788060","332bf061-a96e-426a-ad0c-f643e302d168","JAN010788060",15.75,"moreplease","Percentage",5.25,"FC01","900122619","110929112",3,29.75,89.25,89.25,"GB","JAN010788060",5910,"GBP","E","Receipt Return",1,"JAN010788060","AQL","Consumer","PRMP000002000200000005126425720220428103000",14,"GB","","Burnley","Lancs","UK","OCT040788060",1,1,"en-AU","GB","",35,"Product","SCAAFS",8,89.25,97.25,"Card",20002,"","","SCALPERS",2
"JAN010788062","05d3d754-42db-4e2d-ae9d-00d7f926a5f9","JAN010788062",12.75,"moreplease","Percentage",4.25,"FC01","900228127","110653545",3,17.75,53.25,53.25,"GB","JAN010788062",5910,"GBP","E","Receipt Return",1,"JAN010788062","AQL","Consumer","PRMP000002000200000004956037320220427020000",24,"GB","","Burnley","Lancs","UK","OCT040788062",1,1,"en-AU","GB","",22,"Product","SCAAFS1",8,53.25,61.25,"Card",20002,"","","SCALPERS1",2
"JAN010788063","f16a9f3e-9268-4652-a1a0-b2d876a0bba6","JAN010788063",59.97,"moreplease","Percentage",19.99,"FC04","900122620","106503347",3,15,45,45,"GB","JAN010788063",5910,"GBP","E","Receipt Return",1,"JAN010788063","AQL","Consumer","PRMP000002000200000004958569620220427020000",25,"GB","","Burnley","Lancs","UK","OCT040788063",1,1,"en-AU","GB","",34.99,"Product","SCAAFS1",8,45,53,"Card",20012,"","","SCALPERS1",1
"JAN010788063","f16a9f3e-9268-4652-a1a0-b2d876a0bba6","JAN010788063",12.75,"moreplease","Percentage",4.25,"FC01","900122620","110653539",3,17.75,53.25,53.25,"GB","JAN010788063",5910,"GBP","E","Receipt Return",1,"JAN010788063","AQL","Consumer","PRMP000002000200000004956037220220427020000",26,"GB","","Burnley","Lancs","UK","OCT040788063",1,1,"en-AU","GB","",22,"Product","SCAAFS1",8,53.25,61.25,"Card",20002,"","","SCALPERS1",4
"JAN010788063","f16a9f3e-9268-4652-a1a0-b2d876a0bba6","JAN010788063",12.75,"moreplease","Percentage",4.25,"FC01","900122620","110653538",3,17.75,53.25,53.25,"GB","JAN010788063",5910,"GBP","E","Receipt Return",1,"JAN010788063","AQL","Consumer","PRMP000002000200000004956037220220427020000",27,"GB","","Burnley","Lancs","UK","OCT040788063",1,1,"en-AU","GB","",22,"Product","SCAAFS1",8,53.25,61.25,"Card",20002,"","","SCALPERS1",3
"JAN010788064","e969c96d-fcef-4f88-82cd-99a12c53fc23","JAN010788064",50.97,"moreplease","Percentage",16.99,"FC04","900114138","12033974",3,23,69,69,"GB","JAN010788064",5910,"GBP","E","Receipt Return",1,"JAN010788064","AQL","Consumer","PRMP000002000200000005101387720220427020000",28,"GB","","Burnley","Lancs","UK","OCT040788064",1,1,"en-AU","GB","",39.99,"Product","SCAAFS1",8,69,77,"Card",20012,"","","SCALPERS1",4
"JAN010788064","e969c96d-fcef-4f88-82cd-99a12c53fc23","JAN010788064",37.5,"moreplease","Percentage",12.5,"FC01","900114138","110578520",3,29.5,88.5,88.5,"GB","JAN010788064",5910,"GBP","E","Receipt Return",1,"JAN010788064","AQL","Consumer","PRMP000002000200000004958224320220427020000",29,"GB","","Burnley","Lancs","UK","OCT040788064",1,1,"en-AU","GB","",42,"Product","SCAAFS1",8,88.5,96.5,"Card",20002,"","","SCALPERS1",1
"JAN010788064","e969c96d-fcef-4f88-82cd-99a12c53fc23","JAN010788064",51,"moreplease","Percentage",17,"FC01","900114138","7437952",3,68,204,204,"GB","JAN010788064",5910,"GBP","E","Receipt Return",1,"JAN010788064","AQL","Consumer","PRMP000002000200000004951522520220427020000",30,"GB","","Burnley","Lancs","UK","OCT040788064",1,1,"en-AU","GB","",85,"Product","SCAAFS1",8,204,212,"Card",20002,"","","SCALPERS1",5
"JAN010788064","e969c96d-fcef-4f88-82cd-99a12c53fc23","JAN010788064",24.75,"moreplease","Percentage",8.25,"FC01","900114138","110578528",3,33.75,101.25,101.25,"GB","JAN010788064",5910,"GBP","E","Receipt Return",1,"JAN010788064","AQL","Consumer","PRMP000002000200000004958224420220427020000",31,"GB","","Burnley","Lancs","UK","OCT040788064",1,1,"en-AU","GB","",42,"Product","SCAAFS1",8,101.25,109.25,"Card",20002,"","","SCALPERS1",2
"JAN010788065","b3f48ef2-ffd6-41fc-b43d-dae76e94998a","JAN010788065",68.97,"moreplease","Percentage",22.99,"FC04","900260438","110669155",3,27,81,81,"GB","JAN010788065",5910,"GBP","E","Receipt Return",1,"JAN010788065","AQL","Consumer","PRMP000002000200000004958244220220427020000",32,"GB","","Burnley","Lancs","UK","OCT040788065",1,1,"en-AU","GB","",49.99,"Product","SCAAFS1",8,81,89,"Card",20012,"","","SCALPERS1",5
"JAN010788065","b3f48ef2-ffd6-41fc-b43d-dae76e94998a","JAN010788065",15,"moreplease","Percentage",5,"FC01","900260438","104955619",3,20,60,60,"GB","JAN010788065",5910,"GBP","E","Receipt Return",1,"JAN010788065","AQL","Consumer","PRMP000002000200000004956668020220427020000",33,"GB","","Burnley","Lancs","UK","OCT040788065",1,1,"en-AU","GB","5059553037365",25,"Product","SCAAFS1",8,60,68,"Card",20002,"","","SCALPERS1",1
"JAN010788065","b3f48ef2-ffd6-41fc-b43d-dae76e94998a","JAN010788065",15,"moreplease","Percentage",5,"FC01","900260438","104955620",3,20,60,60,"GB","JAN010788065",5910,"GBP","E","Receipt Return",1,"JAN010788065","AQL","Consumer","PRMP000002000200000004956668020220427020000",34,"GB","","Burnley","Lancs","UK","OCT040788065",1,1,"en-AU","GB","5059553037358",25,"Product","SCAAFS1",8,60,68,"Card",20002,"","","SCALPERS1",2
"JAN010788065","b3f48ef2-ffd6-41fc-b43d-dae76e94998a","JAN010788065",37.5,"moreplease","Percentage",12.5,"FC01","900260438","110578521",3,29.5,88.5,88.5,"GB","JAN010788065",5910,"GBP","E","Receipt Return",1,"JAN010788065","AQL","Consumer","PRMP000002000200000004958224320220427020000",35,"GB","","Burnley","Lancs","UK","OCT040788065",1,1,"en-AU","GB","",42,"Product","SCAAFS1",8,88.5,96.5,"Card",20002,"","","SCALPERS1",3
"JAN010788066","e0b62bde-3acc-4823-af5a-e7527b1487b6","JAN010788066",17.97,"moreplease","Percentage",5.99,"FC04","900114139","8764147",3,16,48,48,"GB","JAN010788066",5910,"GBP","E","Receipt Return",1,"JAN010788066","AQL","Consumer","PRMP000002000200000004957427120220427020000",36,"GB","","Burnley","Lancs","UK","OCT040788066",1,1,"en-AU","GB","",21.99,"Product","SCAAFS1",8,48,56,"Card",20012,"","","SCALPERS1",4
"JAN010788066","e0b62bde-3acc-4823-af5a-e7527b1487b6","JAN010788066",68.97,"moreplease","Percentage",22.99,"FC04","900114139","110669156",3,27,81,81,"GB","JAN010788066",5910,"GBP","E","Receipt Return",1,"JAN010788066","AQL","Consumer","PRMP000002000200000004958244220220427020000",37,"GB","","Burnley","Lancs","UK","OCT040788066",1,1,"en-AU","GB","",49.99,"Product","SCAAFS",8,81,89,"Card",20012,"","","SCALPERS",3
"JAN010788066","e0b62bde-3acc-4823-af5a-e7527b1487b6","JAN010788066",24.75,"moreplease","Percentage",8.25,"FC01","900114139","110578529",3,33.75,101.25,101.25,"GB","JAN010788066",5910,"GBP","E","Receipt Return",1,"JAN010788066","AQL","Consumer","PRMP000002000200000004958224420220427020000",38,"GB","","Burnley","Lancs","UK","OCT040788066",1,1,"en-AU","GB","",42,"Product","SCAAFS",8,101.25,109.25,"Card",20002,"","","SCALPERS",1
"JAN010788066","e0b62bde-3acc-4823-af5a-e7527b1487b6","JAN010788066",24.75,"moreplease","Percentage",8.25,"FC01","900114139","110578530",3,33.75,101.25,101.25,"GB","JAN010788066",5910,"GBP","E","Receipt Return",1,"JAN010788066","AQL","Consumer","PRMP000002000200000004958224420220427020000",39,"GB","","Burnley","Lancs","UK","OCT040788066",1,1,"en-AU","GB","",42,"Product","SCAAFS",8,101.25,109.25,"Card",20002,"","","SCALPERS",2
"JAN010788066","e0b62bde-3acc-4823-af5a-e7527b1487b6","JAN010788066",126,"moreplease","Percentage",42,"FC01","900114139","9673320",3,28,84,84,"GB","JAN010788066",5910,"GBP","E","Receipt Return",1,"JAN010788066","AQL","Consumer","CLRP0000020002000000241635875",40,"GB","","Burnley","Lancs","UK","OCT040788066",1,1,"en-AU","GB","",70,"Product","SCAAFS1",8,84,92,"Card",20002,"","","SCALPERS1",5
"JAN010788069","f62f9f2d-130c-404d-8be9-aa4a07576b2b","JAN010788069",62.97,"moreplease","Percentage",20.99,"FC04","900212649","109872173",3,28,84,84,"GB","JAN010788069",5910,"GBP","E","Receipt Return",1,"JAN010788069","AQL","Consumer","PRMP000002000200000005106349720220427020000",41,"GB","","Burnley","Lancs","UK","OCT040788069",1,1,"en-AU","GB","",48.99,"Product","SCAAFS",8,84,92,"Voucher",20012,"","","SCALPERS",1
"JAN010788069","f62f9f2d-130c-404d-8be9-aa4a07576b2b","JAN010788069",45,"moreplease","Percentage",15,"FC01","900212649","12120710",3,35,105,105,"GB","JAN010788069",5910,"GBP","E","Receipt Return",1,"JAN010788069","AQL","Consumer","PRMP000002000200000004956422220220427020000",42,"GB","","Burnley","Lancs","UK","OCT040788069",1,1,"en-AU","GB","",50,"Product","SCAAFS1",8,105,113,"Voucher",20002,"","","SCALPERS1",5
"JAN010788069","f62f9f2d-130c-404d-8be9-aa4a07576b2b","JAN010788069",24,"moreplease","Percentage",8,"FC01","900212649","109872536",3,32,96,96,"GB","JAN010788069",5910,"GBP","E","Receipt Return",1,"JAN010788069","AQL","Consumer","PRMP000002000200000004956344420220427020000",43,"GB","","Burnley","Lancs","UK","OCT040788069",1,1,"en-AU","GB","",40,"Product","SCAAFS",8,96,104,"Voucher",20002,"","","SCALPERS",2
"JAN010788069","f62f9f2d-130c-404d-8be9-aa4a07576b2b","JAN010788069",66,"moreplease","Percentage",22,"FC01","900212649","109872621",3,41,123,123,"GB","JAN010788069",5910,"GBP","E","Receipt Return",1,"JAN010788069","AQL","Consumer","PRMP000002000200000004956361620220427020000",44,"GB","","Burnley","Lancs","UK","OCT040788069",1,1,"en-AU","GB","",63,"Product","SCAAFS",8,123,131,"Voucher",20002,"","","SCALPERS",3
"JAN010788070","9853e39d-2403-4880-9edf-2aa9326f2197","JAN010788070",140.97,"moreplease","Percentage",46.99,"FC04","900114136","105010421",3,65,195,195,"GB","JAN010788070",5910,"GBP","E","Receipt Return",1,"JAN010788070","AQL","Consumer","PRMP000002000200000005106281720220427020000",46,"GB","","Burnley","Lancs","UK","OCT040788070",1,1,"en-AU","GB","5059553037341",111.99,"Product","SCAAFS",8,195,203,"Card",20012,"","","SCALPERS",2
"JAN010788070","9853e39d-2403-4880-9edf-2aa9326f2197","JAN010788070",12.75,"moreplease","Percentage",4.25,"FC01","900114136","109872567",3,17.75,53.25,53.25,"GB","JAN010788070",5910,"GBP","E","Receipt Return",1,"JAN010788070","AQL","Consumer","PRMP000002000200000004956558620220427020000",47,"GB","","Burnley","Lancs","UK","OCT040788070",1,1,"en-AU","GB","",22,"Product","SCAAFS1",8,53.25,61.25,"Card",20002,"","","SCALPERS1",5
"JAN010788070","9853e39d-2403-4880-9edf-2aa9326f2197","JAN010788070",15,"moreplease","Percentage",5,"FC01","900114136","104955621",3,20,60,60,"GB","JAN010788070",5910,"GBP","E","Receipt Return",1,"JAN010788070","AQL","Consumer","PRMP000002000200000004956668020220427020000",48,"GB","","Burnley","Lancs","UK","OCT040788070",1,1,"en-AU","GB","5059553037389",25,"Product","SCAAFS",8,60,68,"Card",20002,"","","SCALPERS",1
"JAN010788071","d4e8d554-b0ec-4d9c-bcc3-27d8665e09a3","JAN010788071",152.97,"moreplease","Percentage",50.99,"FC04","900173336","109003633",3,39,117,117,"GB","JAN010788071",5910,"GBP","E","Receipt Return",1,"JAN010788071","AQL","Consumer","PRMP000002000200000004958353820220427020000",49,"GB","","Burnley","Lancs","UK","OCT040788071",1,1,"en-AU","GB","",89.99,"Product","SCAAFS",8,117,125,"Card",20012,"","","SCALPERS",3
"JAN010788071","d4e8d554-b0ec-4d9c-bcc3-27d8665e09a3","JAN010788071",140.97,"moreplease","Percentage",46.99,"FC04","900173336","105010422",3,65,195,195,"GB","JAN010788071",5910,"GBP","E","Receipt Return",1,"JAN010788071","AQL","Consumer","PRMP000002000200000005106281720220427020000",50,"GB","","Burnley","Lancs","UK","OCT040788071",1,1,"en-AU","GB","5059553037372",111.99,"Product","SCAAFS",8,195,203,"Card",20012,"","","SCALPERS",2
"JAN010788071","d4e8d554-b0ec-4d9c-bcc3-27d8665e09a3","JAN010788071",12.75,"moreplease","Percentage",4.25,"FC01","900173336","109872569",3,17.75,53.25,53.25,"GB","JAN010788071",5910,"GBP","E","Receipt Return",1,"JAN010788071","AQL","Consumer","PRMP000002000200000004956558620220427020000",51,"GB","","Burnley","Lancs","UK","OCT040788071",1,1,"en-AU","GB","",22,"Product","SCAAFS1",8,53.25,61.25,"Card",20002,"","","SCALPERS1",5
"JAN010788072","c7831682-f111-4142-aa5a-0ee967cba016","JAN010788072",41.97,"moreplease","Percentage",13.99,"FC04","900122617","109410006",3,14,42,42,"GB","JAN010788072",5910,"GBP","E","Receipt Return",1,"JAN010788072","AQL","Consumer","PRMP000002000200000004958121320220427020000",52,"GB","","Burnley","Lancs","UK","OCT040788072",1,1,"en-AU","GB","",27.99,"Product","SCAAFS",8,42,50,"Card",20012,"","","SCALPERS",2
"JAN010788072","c7831682-f111-4142-aa5a-0ee967cba016","JAN010788072",41.97,"moreplease","Percentage",13.99,"FC04","900122617","109410007",3,14,42,42,"GB","JAN010788072",5910,"GBP","E","Receipt Return",1,"JAN010788072","AQL","Consumer","PRMP000002000200000004958121320220427020000",53,"GB","","Burnley","Lancs","UK","OCT040788072",1,1,"en-AU","GB","",27.99,"Product","SCAAFS",8,42,50,"Card",20012,"","","SCALPERS",3
"JAN010788072","c7831682-f111-4142-aa5a-0ee967cba016","JAN010788072",45,"moreplease","Percentage",15,"FC01","900122617","102008814",3,35,105,105,"GB","JAN010788072",5910,"GBP","E","Receipt Return",1,"JAN010788072","AQL","Consumer","PRMP000002000200000004957161920220427020000",54,"GB","","Burnley","Lancs","UK","OCT040788072",1,1,"en-AU","GB","",50,"Product","SCAAFS",8,105,113,"Card",20002,"","","SCALPERS",1
"JAN010788072","c7831682-f111-4142-aa5a-0ee967cba016","JAN010788072",32.97,"moreplease","Percentage",10.99,"FC01","900122617","109413469",3,45,135,135,"GB","JAN010788072",5910,"GBP","E","Receipt Return",1,"JAN010788072","AQL","Consumer","PRMP000002000200000004958405920220427020000",55,"GB","","Burnley","Lancs","UK","OCT040788072",1,1,"en-AU","GB","",55.99,"Product","SCAAFS1",8,135,143,"Card",20002,"","","SCALPERS1",4
"JAN010788073","00157f0d-be1c-4c4b-8674-c8c0249b58f9","JAN010788073",104.97,"moreplease","Percentage",34.99,"FC04","900164866","108959647",3,48,144,144,"GB","JAN010788073",5910,"GBP","E","Receipt Return",1,"JAN010788073","AQL","Consumer","PRMP000002000200000005101424920220427020000",56,"GB","","Burnley","Lancs","UK","OCT040788073",1,1,"en-AU","GB","",82.99,"Product","SCAAFS",8,144,152,"KlarnaPAD",20012,"","","SCALPERS",3
"JAN010788073","00157f0d-be1c-4c4b-8674-c8c0249b58f9","JAN010788073",44.97,"moreplease","Percentage",14.99,"FC04","900164866","108444542",3,21,63,63,"GB","JAN010788073",5910,"GBP","E","Receipt Return",1,"JAN010788073","AQL","Consumer","PRMP000002000200000004957574120220427020000",57,"GB","","Burnley","Lancs","UK","OCT040788073",1,1,"en-AU","GB","",35.99,"Product","SCAAFS",8,63,71,"KlarnaPAD",20012,"","","SCALPERS",1
"JAN010788073","00157f0d-be1c-4c4b-8674-c8c0249b58f9","JAN010788073",90,"moreplease","Percentage",30,"FC01","900164866","9677744",3,20,60,60,"GB","JAN010788073",5910,"GBP","E","Receipt Return",1,"JAN010788073","AQL","Consumer","CLRP0000020002000000241635880",58,"GB","","Burnley","Lancs","UK","OCT040788073",1,1,"en-AU","GB","",50,"Product","",8,60,68,"KlarnaPAD",20002,"","","",4
"JAN010788073","00157f0d-be1c-4c4b-8674-c8c0249b58f9","JAN010788073",90,"moreplease","Percentage",30,"FC01","900164866","9677835",3,20,60,60,"GB","JAN010788073",5910,"GBP","E","Receipt Return",1,"JAN010788073","AQL","Consumer","CLRP0000020002000000241635881",59,"GB","","Burnley","Lancs","UK","OCT040788073",1,1,"en-AU","GB","",50,"Product","",8,60,68,"KlarnaPAD",20002,"","","",5
