Ref No,New / New (AddnPO) /New (AddnSuppNoPO)/Repeat,Planned Option Ref No,Approve Indicator,Division,Group,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub Group,Buying Set,Price Establishment,Brand,Option Long Desc,Colour Group,Reporting Colour,Size Group,Style,Pim Product Type,Supplier Site,Country of Manufacture,Unit Cost,Units per Carton,Packaging Method,Supplier Reference,Web Colour,Min Ord Qty,Order Multiple,IBP SELLING PRICE (GBP),ROW SELLING PRICE (GBP),UK01 SELLING PRICE (GBP),DE01 SELLING PRICE (EUR),FR01 SELLING PRICE (EUR),IT01 SELLING PRICE (EUR),ES01 SELLING PRICE (EUR),US01 SELLING PRICE (USD),AU01 SELLING PRICE (AUD),RU01 SELLING PRICE (RUB),NL01 SELLING PRICE (EUR),SE01 SELLING PRICE (SEK),ROE01 SELLING PRICE (EUR),PL01 SELLING PRICE (PLN),DK01 SELLING PRICE (DKK),IRE01 SELLING PRICE (EUR),IBP BRAND RECOMMENDED PRICE (GBP),ROW BRAND RECOMMENDED PRICE (GBP),UK01 BRAND RECOMMENDED PRICE (GBP),DE01 BRAND RECOMMENDED PRICE (EUR),FR01 BRAND RECOMMENDED PRICE (EUR),IT01 BRAND RECOMMENDED PRICE (EUR),ES01 BRAND RECOMMENDED PRICE (EUR),US01 BRAND RECOMMENDED PRICE (USD),AU01 BRAND RECOMMENDED PRICE (AUD),RU01 BRAND RECOMMENDED PRICE (RUB),NL01 BRAND RECOMMENDED PRICE (EUR),SE01 BRAND RECOMMENDED PRICE (SEK),ROE01 BRAND RECOMMENDED PRICE (EUR),PL01 BRAND RECOMMENDED PRICE (PLN),DK01 BRAND RECOMMENDED PRICE (DKK),IRE01 BRAND RECOMMENDED PRICE (EUR),IBP Outlet RP (GBP),ROW Outlet RP (GBP),UK01 Outlet RP (GBP),DE01 Outlet RP (EUR),FR01 Outlet RP (EUR),IT01 Outlet RP (EUR),ES01 Outlet RP (EUR),US01 Outlet RP (USD),AU01 Outlet RP (AUD),RU01 Outlet RP (RUB),NL01 Outlet RP (EUR),SE01 Outlet RP (SEK),ROE01 Outlet RP (EUR),PL01 Outlet RP (PLN),DK01 Outlet RP (DKK),IRE01 Outlet RP (EUR),IBP RRP (GBP),ROW RRP (GBP),UK01 RRP (GBP),DE01 RRP (EUR),FR01 RRP (EUR),IT01 RRP (EUR),ES01 RRP (EUR),US01 RRP (USD),AU01 RRP (AUD),RU01 RRP (RUB),NL01 RRP (EUR),SE01 RRP (SEK),ROE01 RRP (EUR),PL01 RRP (PLN),DK01 RRP (DKK),IRE01 RRP (EUR),Wholesale,Order Row Code,Available to Sell,Auto EAN,Sizes,Allow Duplicate Product,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,FIRST WAREHOUSE,FINAL WAREHOUSE,PO Type,FACTORY,Order Qty,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,FIRST WAREHOUSE ,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,FIRST WAREHOUSE,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority
11,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest11,2000,AUBURN,6190,newStyle11,1,1100000477,GB,60,10,F,101.03.16.11,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
12,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest12,2000,AUBURN,6190,newStyle12,1,1100000477,GB,60,10,F,101.03.16.12,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
13,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest13,2000,AUBURN,6190,newStyle13,1,1100000477,GB,60,10,F,101.03.16.13,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,1065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
14,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest14,2000,AUBURN,6190,newStyle14,1,1100000477,GB,60,10,F,101.03.16.14,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,3065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
15,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest15,2000,AUBURN,6190,newStyle15,1,1100000477,GB,60,10,F,101.03.16.15,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,4065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
16,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest16,2000,AUBURN,6190,newStyle16,1,1100000477,GB,60,10,F,101.03.16.16,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
17,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest17,2000,AUBURN,6190,newStyle17,1,1100000477,GB,60,10,F,101.03.16.17,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
18,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest18,2000,AUBURN,6190,newStyle18,1,1100000477,GB,60,10,F,101.03.16.18,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
19,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest19,2000,AUBURN,6190,newStyle19,1,1100000477,GB,60,10,F,101.03.16.19,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,1065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
20,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest20,2000,AUBURN,6190,newStyle20,1,1100000477,GB,60,10,F,101.03.16.20,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,3065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
21,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest21,2000,AUBURN,6190,newStyle21,1,1100000477,GB,60,10,F,101.03.16.21,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,4065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
22,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest22,2000,AUBURN,6190,newStyle22,1,1100000477,GB,60,10,F,101.03.16.22,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
23,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest23,2000,AUBURN,6190,newStyle23,1,1100000477,GB,60,10,F,101.03.16.23,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
24,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest24,2000,AUBURN,6190,newStyle24,1,1100000477,GB,60,10,F,101.03.16.24,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
25,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest25,2000,AUBURN,6190,newStyle25,1,1100000477,GB,60,10,F,101.03.16.25,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,1065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
26,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest26,2000,AUBURN,6190,newStyle26,1,1100000477,GB,60,10,F,101.03.16.26,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,1,71,2,88,1,3002,1,3004,1,50,30/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2024,28/06/2024,1/7/2024,3065072906190,,1,1001,3001,S,9999,100,21/11/2024,21/11/2024,30/11/2024,,,1,,,,,,,,,,,
