Barcodes1,Barcodes2,Barcodes3,Barcodes4,Barcodes5,Barcodes6,Barcodes7,Barcodes8,Barcodes9,Barcodes10,Barcodes11,Barcodes12,Barcodes13,Barcodes14,Barcodes15,Barcodes16,Barcodes17,Barcodes18,Barcodes19,Barcodes20,Barcodes21,Barcodes22,Barcodes23,Barcodes24,Barcodes25,Barcodes26,Barcodes27,Barcodes28,Barcodes29,Barcodes30,Barcodes31,Barcodes32,Barcodes33,Barcodes34,Barcodes35,Barcodes36,Barcodes37,Barcodes38,Barcodes39,Barcodes40,Barcodes41,Barcodes42,Barcodes43,Barcodes44,Barcodes45,Barcodes46,Barcodes47,Barcodes48,Barcodes49,Barcodes50,Barcodes51,Barcodes52,Barcodes53,Barcodes54,Barcodes55,Barcodes56,Barcodes57,Barcodes58,Barcodes59,Barcodes60,Barcodes61,Barcodes62,Barcodes63,Barcodes64,Barcodes65,Barcodes66,Barcodes67,Barcodes68,Barcodes69,Barcodes70,Barcodes71,Barcodes72,Barcodes73,Barcodes74,Barcodes75,Barcodes76,Barcodes77,Barcodes78,Barcodes79,Barcodes80,Barcodes81,Barcodes82,Barcodes83,Barcodes84,Barcodes85,Barcodes86,Barcodes87,Barcodes88,Barcodes89,Barcodes90,Barcodes91,Barcodes92,Barcodes93,Barcodes94,Barcodes95,Barcodes96,Barcodes97,Barcodes98,Barcodes99,Barcodes100
2200000621306,2200000709295,2200000644268,2200000630858,2200000675040,2200000738677,2200000721945,2200000663153,2200000746573,2200000639707,2200000659316,2200000611963,2200000739759,2200000603425,2200000671219,2200000739766,2200000603272,2200000710482,2200000621023,2200000631589,2200000652133,2200000672537,2200000714008,2200000682123,2200000707765,2200000674784,2200000712486,2200000654274,2200000689344,2200000618436,2200000600363,2200000738585,2200000608086,2200000676313,2200000676344,2200000736864,2200000685155,2200000709806,2200000656636,2200000725196,2200000744661,2200000728098,2200000693822,2200000611345,2200000645340,2200000647795,2200000680655,2200000619105,2200000621146,2200000708243,2200000737113,2200000616982,2200000702814,2200000719492,2200000617910,2200000684073,2200000730961,2200000601056,2200000601445,2200000607386,2200000712028,2200000746481,2200000641458,2200000658289,2200000688491,2200000660718,2200000659552,2200000622006,2200000697844,2200000709837,2200000602664,2200000648440,2200000628275,2200000665935,2200000714961,2200000659590,2200000659903,2200000645951,2200000628558,2200000697578,2200000727831,2200000734143,2200000634559,2200000636164,2200000700742,2200000708496,2200000735164,2200000702340,2200000626554,2200000671158,2200000710543,2200000601186,2200000658388,2200000704160,2200000704467,2200000629296,2200000668929,2200000739179,2200000672261,2200000605740
2200000642028,2200000675927,2200000667649,2200000706515,2200000605252,2200000631206,2200000656094,2200000672278,2200000686756,2200000621092,2200000731166,2200000709936,2200000620651,2200000628046,2200000692023,2200000614568,2200000639554,2200000656049,2200000691279,2200000701374,2200000713957,2200000651792,2200000651723,2200000601520,2200000644756,2200000632807,2200000693129,2200000671523,2200000716163,2200000602244,2200000641021,2200000725080,2200000729088,2200000639493,2200000627735,2200000635945,2200000641052,2200000713797,2200000747730,2200000707918,2200000692535,2200000619693,2200000628787,2200000708373,2200000650269,2200000664860,2200000693211,2200000745545,2200000718662,2200000737939,2200000644527,2200000634412,2200000654373,2200000645180,2200000647276,2200000649232,2200000737274,2200000726612,2200000604620,2200000660701,2200000621610,2200000603579,2200000675552,2200000701510,2200000703118,2200000603203,2200000654571,2200000700032,2200000688651,2200000674548,2200000663474,2200000717719,2200000661883,2200000728760,2200000749642,2200000698599,2200000617774,2200000680556,2200000743084,2200000727947,2200000610454,2200000622600,2200000637574,2200000662248,2200000742759,2200000631763,2200000747501,2200000610645,2200000698025,2200000736161,2200000716859,2200000739797,2200000650610,2200000664129,2200000668226,2200000706706,2200000684929,2200000691491,2200000616609,2200000701220
2200000685582,2200000734570,2200000630575,2200000727459,2200000658975,2200000731845,2200000711793,2200000643742,2200000632548,2200000625137,2200000726421,2200000726520,2200000708694,2200000720740,2200000715159,2200000734426,2200000662354,2200000703538,2200000657954,2200000685360,2200000633378,2200000651402,2200000671868,2200000705778,2200000707253,2200000642882,2200000730855,2200000727404,2200000650016,2200000694812,2200000696694,2200000733399,2200000740571,2200000713704,2200000745729,2200000724656,2200000693655,2200000708328,2200000612120,2200000679918,2200000720696,2200000743114,2200000659354,2200000677426,2200000736895,2200000633828,2200000733382,2200000618108,2200000703552,2200000692597,2200000621382,2200000680150,2200000719959,2200000729057,2200000747167,2200000706393,2200000676177,2200000714954,2200000734877,2200000737762,2200000619341,2200000632333,2200000690753,2200000694911,2200000719096,2200000669322,2200000626417,2200000731579,2200000654892,2200000665232,2200000712585,2200000615671,2200000632012,2200000711229,2200000605443,2200000645715,2200000675415,2200000601964,2200000628640,2200000630537,2200000689535,2200000671400,2200000688736,2200000712899,2200000608536,2200000672780,2200000684875,2200000642196,2200000630223,2200000740373,2200000694874,2200000731586,2200000736512,2200000749604,2200000615558,2200000630315,2200000604705,2200000623065,2200000744241,2200000746719
2200000669841,2200000743688,2200000631886,2200000675736,2200000706683,2200000690494,2200000624666,2200000633118,2200000628091,2200000633958,2200000667175,2200000720085,2200000635327,2200000613882,2200000626516,2200000600523,2200000612670,2200000638816,2200000676771,2200000603371,2200000683564,2200000642363,2200000710611,2200000674937,2200000732965,2200000746269,2200000626509,2200000702913,2200000749284,2200000619334,2200000635471,2200000709110,2200000600950,2200000670922,2200000665157,2200000680358,2200000652256,2200000696236,2200000737182,2200000718303,2200000737502,2200000705297,2200000728524,2200000660091,2200000739629,2200000663580,2200000683014,2200000688873,2200000706690,2200000698827,2200000711335,2200000711700,2200000647993,2200000633934,2200000691545,2200000608451,2200000745132,2200000644435,2200000647856,2200000722348,2200000732828,2200000707697,2200000653772,2200000667885,2200000678249,2200000681058,2200000692207,2200000623386,2200000671097,2200000632647,2200000697202,2200000717153,2200000679093,2200000697677,2200000732101,2200000624895,2200000667533,2200000687630,2200000679048,2200000696502,2200000646446,2200000655943,2200000704412,2200000634108,2200000639486,2200000652317,2200000749901,2200000625090,2200000659231,2200000684325,2200000748621,2200000674661,2200000660343,2200000732767,2200000642370,2200000659989,2200000654328,2200000655738,2200000664969,2200000709011
2200000608048,2200000681676,2200000720481,2200000739353,2200000655479,2200000734952,2200000681300,2200000731791,2200000634191,2200000638601,2200000702876,2200000659828,2200000615381,2200000638007,2200000656872,2200000732170,2200000738684,2200000609434,2200000628534,2200000619846,2200000698971,2200000702302,2200000742131,2200000667731,2200000670380,2200000709004,2200000615473,2200000604880,2200000743077,2200000745002,2200000671189,2200000725615,2200000703927,2200000747068,2200000695871,2200000642950,2200000667168,2200000678881,2200000687210,2200000623881,2200000730794,2200000720979,2200000632272,2200000730114,2200000735621,2200000748843,2200000644534,2200000628602,2200000630797,2200000692450,2200000625571,2200000706577,2200000645739,2200000734723,2200000664532,2200000700872,2200000613714,2200000700186,2200000703903,2200000680488,2200000741035,2200000618641,2200000607072,2200000745996,2200000674517,2200000690586,2200000668707,2200000681324,2200000615923,2200000632623,2200000634252,2200000720023,2200000712837,2200000742926,2200000721129,2200000616258,2200000621184,2200000672872,2200000707826,2200000609670,2200000668585,2200000669162,2200000670786,2200000682055,2200000697257,2200000700902,2200000706263,2200000682338,2200000604583,2200000625991,2200000661098,2200000647467,2200000677556,2200000620156,2200000696793,2200000628626,2200000652478,2200000668387,2200000670403,2200000632463
2200000671820,2200000694010,2200000713001,2200000684448,2200000644091,2200000658272,2200000679727,2200000644077,2200000624949,2200000632838,2200000680679,2200000690289,2200000646934,2200000715807,2200000622969,2200000678591,2200000715609,2200000744487,2200000637888,2200000690418,2200000732880,2200000729637,2200000743633,2200000646910,2200000747358,2200000700988,2200000734174,2200000740502,2200000604873,2200000727565,2200000639097,2200000644640,2200000700582,2200000638403,2200000608529,2200000714794,2200000733658,2200000721402,2200000626899,2200000689375,2200000653499,2200000691460,2200000613141,2200000734969,2200000645616,2200000699152,2200000645555,2200000668288,2200000668776,2200000692849,2200000602640,2200000678546,2200000627759,2200000655653,2200000665164,2200000717238,2200000709486,2200000625342,2200000743282,2200000682253,2200000714213,2200000645173,2200000700254,2200000712288,2200000656797,2200000648105,2200000680815,2200000733481,2200000712257,2200000672834,2200000654021,2200000664402,2200000730374,2200000746023,2200000635587,2200000656278,2200000677563,2200000747280,2200000670281,2200000701480,2200000697493,2200000708755,2200000714459,2200000616821,2200000685230,2200000639196,2200000648785,2200000626158,2200000680495,2200000715913,2200000724755,2200000672865,2200000624468,2200000639813,2200000642356,2200000641083,2200000682420,2200000716729,2200000668561,2200000712073
2200000717764,2200000601643,2200000710154,2200000606327,2200000631473,2200000735614,2200000619914,2200000677389,2200000694447,2200000723024,2200000657930,2200000676627,2200000624086,2200000721372,2200000634399,2200000658098,2200000601636,2200000635624,2200000655691,2200000748409,2200000612984,2200000728234,2200000613981,2200000719577,2200000674340,2200000655462,2200000720580,2200000725967,2200000646682,2200000698742,2200000749192,2200000608109,2200000698612,2200000715920,2200000608208,2200000718075,2200000671790,2200000721334,2200000621429,2200000625427,2200000677297,2200000730381,2200000643476,2200000641366,2200000664198,2200000666611,2200000726636,2200000674821,2200000671714,2200000725592,2200000620491,2200000629784,2200000634467,2200000641915,2200000653109,2200000715302,2200000667960,2200000748027,2200000612991,2200000680129,2200000630025,2200000733078,2200000632364,2200000668110,2200000720207,2200000708571,2200000749956,2200000633682,2200000649058,2200000649522,2200000686459,2200000742469,2200000745477,2200000614193,2200000620507,2200000661586,2200000691422,2200000694423,2200000710475,2200000735287,2200000602053,2200000650399,2200000662064,2200000603135,2200000653369,2200000659163,2200000708793,2200000602237,2200000679734,2200000696359,2200000608024,2200000679581,2200000725424,2200000607126,2200000646880,2200000739575,2200000740601,2200000701602,2200000721587,2200000621603
2200000631305,2200000608574,2200000663610,2200000709523,2200000611833,2200000733733,2200000664488,2200000669988,2200000616661,2200000695772,2200000730077,2200000730664,2200000677136,2200000633231,2200000677129,2200000684189,2200000742735,2200000608673,2200000634580,2200000671899,2200000730633,2200000635389,2200000674951,2200000665188,2200000692863,2200000626844,2200000639233,2200000681621,2200000728111,2200000620316,2200000665423,2200000741721,2200000602398,2200000669605,2200000698476,2200000722379,2200000616036,2200000652010,2200000678409,2200000607294,2200000678997,2200000694645,2200000717030,2200000654557,2200000703286,2200000737038,2200000608956,2200000613837,2200000642622,2200000621788,2200000655936,2200000630100,2200000742704,2200000623850,2200000691101,2200000601513,2200000657497,2200000621795,2200000626257,2200000651631,2200000689924,2200000675033,2200000659682,2200000683120,2200000712868,2200000717054,2200000703446,2200000739186,2200000740038,2200000630377,2200000689740,2200000636591,2200000631282,2200000685384,2200000691095,2200000666970,2200000610270,2200000646484,2200000635013,2200000683281,2200000722911,2200000699763,2200000619556,2200000668677,2200000698452,2200000723703,2200000728814,2200000747938,2200000617064,2200000634948,2200000649843,2200000662507,2200000743787,2200000701572,2200000715586,2200000720719,2200000643469,2200000651600,2200000618030,2200000706423
2200000677525,2200000744326,2200000615077,2200000621658,2200000735430,2200000612380,2200000612618,2200000652461,2200000620569,2200000651013,2200000693099,2200000729156,2200000733375,2200000733863,2200000629975,2200000667298,2200000728883,2200000739100,2200000723789,2200000671271,2200000698957,2200000638014,2200000671479,2200000731296,2200000725950,2200000740960,2200000627414,2200000608413,2200000610164,2200000667991,2200000602480,2200000719256,2200000721754,2200000643797,2200000646699,2200000624840,2200000675835,2200000675507,2200000743701,2200000748560,2200000603081,2200000613745,2200000740717,2200000725790,2200000604019,2200000727770,2200000746344,2200000621177,2200000630162,2200000739254,2200000649416,2200000650603,2200000611147,2200000628015,2200000696526,2200000631978,2200000665249,2200000741127,2200000749277,2200000649355,2200000647443,2200000661623,2200000703408,2200000695123,2200000624277,2200000615466,2200000671240,2200000734846,2200000706539,2200000642936,2200000669230,2200000658906,2200000684790,2200000698865,2200000684615,2200000658685,2200000605795,2200000662897,2200000668479,2200000697189,2200000674050,2200000612090,2200000608345,2200000620248,2200000649218,2200000746450,2200000690821,2200000603456,2200000659347,2200000669179,2200000671806,2200000658777,2200000704436,2200000682482,2200000711236,2200000738738,2200000668080,2200000740229,2200000713247,2200000648044
2200000701633,2200000741363,2200000663245,2200000747716,2200000655172,2200000734051,2200000670663,2200000717412,2200000737823,2200000695666,2200000749581,2200000679598,2200000610195,2200000684639,2200000689863,2200000749178,2200000642981,2200000639189,2200000705228,2200000627957,2200000629876,2200000637819,2200000733269,2200000660688,2200000747969,2200000608857,2200000724403,2200000602152,2200000607508,2200000705785,2200000688132,2200000718440,2200000724663,2200000690500,2200000722447,2200000621733,2200000655875,2200000714343,2200000745446,2200000698940,2200000706355,2200000604347,2200000695673,2200000740786,2200000657244,2200000704771,2200000749390,2200000608765,2200000643681,2200000664310,2200000609120,2200000614483,2200000646156,2200000711069,2200000619099,2200000632098,2200000718990,2200000605610,2200000619181,2200000617934,2200000628244,2200000703729,2200000735553,2200000612250,2200000704290,2200000731876,2200000673343,2200000657329,2200000690067,2200000732309,2200000655363,2200000733047,2200000712363,2200000622341,2200000671318,2200000682703,2200000718723,2200000627032,2200000683151,2200000604866,2200000648693,2200000668684,2200000707581,2200000724380,2200000643438,2200000622723,2200000729323,2200000655684,2200000736383,2200000605719,2200000671110,2200000693716,2200000722553,2200000602176,2200000624437,2200000660558,2200000702159,2200000633880,2200000678959,2200000676658
2200000719294,2200000667229,2200000704719,2200000697905,2200000737335,2200000641465,2200000674654,2200000702050,2200000687296,2200000722614,2200000691804,2200000692856,2200000670519,2200000706959,2200000636492,2200000631909,2200000657237,2200000740724,2200000618115,2200000665577,2200000740540,2200000660657,2200000731913,2200000619051,2200000704191,2200000679185,2200000673381,2200000625007,2200000601667,2200000711403,2200000719706,2200000720269,2200000731982,2200000724847,2200000704283,2200000743886,2200000746153,2200000646705,2200000723499,2200000723826,2200000684158,2200000707185,2200000686077,2200000614636,2200000738059,2200000629548,2200000656735,2200000660381,2200000704092,2200000654939,2200000731142,2200000728548,2200000618283,2200000741271,2200000621696,2200000679307,2200000640451,2200000702401,2200000607034,2200000686145,2200000717207,2200000624888,2200000657961,2200000734730,2200000731081,2200000706188,2200000725455,2200000722263,2200000624383,2200000723734,2200000611932,2200000617576,2200000608055,2200000662071,2200000706317,2200000658173,2200000607676,2200000626707,2200000741165,2200000651099,2200000731432,2200000709547,2200000602503,2200000735218,2200000601223,2200000648259,2200000607232,2200000662453,2200000679239,2200000619990,2200000710376,2200000643872,2200000627483,2200000636478,2200000668523,2200000714824,2200000746306,2200000659866,2200000706935,2200000733146
