Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5
100453520,100339369,100136200,100186387,100047159
100455576,100339370,100136245,100062596,100115589
100458270,100339371,100136197,100344736,100093874
100246072,100340189,100136188,100313111,100662764
100569050,100270995,100136232,100288158,100046365
100569351,100469342,100136264,100223458,100111719
100454847,100469746,100144089,100241599,100482887
100328821,100277250,100230035,100591053,100497677
100460875,100529632,100229984,100282506,100047155
100352284,100271032,100227980,100313261,100359055
100569239,100277692,100230010,100313567,100112330
100633456,100404477,100230043,100593023,100074928
100632939,100648765,100142907,100344467,100069199
100633556,100296485,100144239,100289658,100153796
100497188,100404632,100143428,100505622,100173840
100368794,100557097,100228423,100465543,100125284
100352669,100404781,100230122,100465586,100162822
100294178,100549907,100230068,100427136,100106344
100295493,100393685,100230129,100428616,100115712
100340114,100393559,100230123,100325413,100125149
100238562,100393280,100230089,100369040,100050152
100319705,100591735,100230048,100457731,100115653
100239018,100611256,100143632,100427507,100068894
100319683,100413555,100225142,100197607,100661921
100378287,100495344,100225256,100241849,100078158
100303998,100659885,100229979,100661586,100162806
100460827,100251448,100230026,100501404,100162804
100351946,100241903,100230060,100093628,100115647
100212590,100400114,100229994,100112342,100375297
100352666,100648774,100655257,100277144,100375296
100466599,100421940,100657053,100288237,100376126
100466741,100351436,100225201,100027818,100380129
100466894,100228163,100226680,100484265,100106087
100614672,100566837,100225245,100171784,100153258
100614701,100566884,100225204,100377624,100162488
100614689,100527237,100224732,100628443,100291545
100614685,100451650,100225152,100591572,100077857
100526396,100228305,100225223,100514564,100322424
100449146,100220948,100540906,100513033,100105943
100450195,100222137,100655248,100039775,100047879
100460175,100587566,100657217,100058969,100049788
100352587,100239101,100227409,100186832,100322574
100466980,100331084,100225237,100313609,100343729
100466811,100420151,100351061,100240866,100059154
100466808,100486485,100349195,100282605,100124765
100496973,100344130,100350921,100486508,100077765
100569810,100240254,100657206,100365500,100068406
100206034,100618079,100037086,100281006,100096406
100569093,100487257,100225136,100661598,100077680
100498334,100524431,100226052,100592571,100096397
100499800,100656417,100225129,100592268,100059044
100499106,100656447,100225198,100286712,100059007
100498715,100648068,100350905,100282210,100021706
100498920,100487684,100351136,100076912,100077626
100448529,100287205,100350829,100180963,100124614
100206133,100663005,100351198,100602786,100077597
100576675,100592814,100350883,100314682,100068340
100529851,100326255,100633807,100172506,100124607
100530017,100486996,100633795,100285872,100115081
100529991,100486473,100036818,100095468,100068315
100342731,100339942,100037709,100197389,100483160
100310527,100341475,100225212,100314396,100067940
100450615,100269951,100225176,100344041,100105646
100238944,100260793,100225228,100484634,100115003
100616073,100525814,100349210,100200506,100114948
100205496,100586351,100350882,100362224,100105444
100238327,100559690,100349188,100156600,100114761
100238194,100426650,100350873,100661207,100105392
100424679,100426489,100351167,100289386,100077246
100214104,100425679,100350912,100179697,100095971
100277820,100414283,100350851,100517868,100111562
100274197,100645955,100348981,100572146,100021272
100569402,100524272,100633802,100379828,100278247
100569336,100499748,100030325,100040743,100067715
100569603,100559524,100030481,100301295,100021088
100274192,100559651,100030083,100315121,100161635
100407106,100559570,100029708,100314392,100048868
100263209,100267446,100227826,100416497,100067378
100306537,100326100,100230025,100515003,100067260
100304777,100252172,100348980,100516600,100235407
100271713,100252065,100349197,100591796,100067254
100548623,100344740,100351166,100159267,100104645
100273763,100260849,100350881,100662104,100278380
100543405,100564380,100350408,100435473,100112249
100272147,100639435,100349116,100314374,100574987
100272584,100451143,100351258,100314303,100251906
100406416,100505458,100351122,100314603,100322773
100274154,100587163,100350953,100074511,100322527
100276979,100585847,100029706,100028668,100062838
100276184,100290133,100030478,100093876,100377568
100214906,100610149,100086134,100093794,100376088
100497429,100326129,100085268,100075117,100456962
100649502,100269172,100085598,100074466,100358851
100491850,100426236,100350908,100193904,100359758
100491581,100609389,100349132,100300802,100103725
100205662,100559759,100351224,100379789,100378420
100496995,100559592,100350892,100572187,100357685
100271724,100344356,100350875,100572075,100373679
100276991,100629232,100349212,100188118,100672805
100277374,100629105,100351165,100111749,100672814
100274630,100039911,100351027,100191414,100374515
100276565,100521934,100349171,100627273,100104636
100274168,100067607,100349162,100186659,100076311
100584212,100629179,100350872,100193939,100357546
100364736,100067087,100145788,100150277,100317297
100238380,100173680,100155141,100150361,100048553
100277362,100048076,100086615,100112590,100595269
100272984,100113425,100085121,100028694,100046131
100430426,100019990,100086843,100093942,100317268
100449137,100176555,100087197,100192877,100322427
100584295,100151078,100085123,100193248,100046639
100394817,100047784,100351138,100038067,100161612
100600663,100113201,100351174,100019392,100573265
100653254,100141429,100350988,100191092,100575015
100277778,100183686,100350862,100194344,100058973
100275807,100150855,100351052,100200308,100068338
100351865,100084817,100349101,100192608,100049515
100470465,100179462,100350849,100039776,100115104
100470464,100191804,100349111,100040130,100058980
100406655,100177069,100351228,100162129,100049670
100406157,100171281,100349134,100049593,100115173
100407093,100093975,100301488,100187870,100105963
100634143,100056356,100159737,100068622,100171779
100206018,100075034,100301707,100193365,100171780
100364699,100131911,100650167,100661999,100059596
100584279,100521800,100650516,100362611,100077241
100548283,100479245,100647284,100240367,100236590
100220327,100200530,100650093,100609264,100322421
100259958,100622611,100648607,100234018,100095189
100310101,100512371,100648606,100592509,100236863
100205498,100575296,100086414,100609338,100113567
100274521,100512911,100085607,100381346,100067173
100273721,100523294,100085380,100662778,100020266
100277352,100200676,100350974,100662587,100095161
100470175,100511792,100351081,100458175,100104500
100504946,100393426,100350950,100413622,100276947
100340076,100550087,100351161,100165937,100048151
100340990,100303518,100351077,100059619,100106904
100569010,100345547,100647286,100574018,100115639
100272517,100346106,100648602,100076896,100096523
100273342,100641582,100647289,100113944,100093871
100275402,100641507,100096690,100132046,100093872
100352254,100375886,100095904,100184186,100095350
100352801,100629260,100096650,100174212,100103757
100273241,100397749,100095857,100075261,100103715
100659955,100651256,100350877,100112385,100324560
100469753,100356465,100349184,100112346,100067167
100340184,100521771,100349245,100187190,100077123
100204712,100580940,100351056,100028440,100174298
100204308,100257226,100350855,100187165,100095236
100616318,100642088,100033366,100186637,100111793
100274429,100371111,100033277,100130741,100322586
100224038,100429264,100033373,100158928,100317410
100079577,100650751,100033348,100364681,100417605
100135018,100650645,100298761,100512424,100317021
100058511,100662032,100297707,100612101,100317260
100161209,100661882,100298255,100288866,100046403
100161099,100581840,100298514,100517595,100483035
100151552,100357072,100298922,100517970,100249429
100057221,100574043,100297666,100517963,100360054
100122904,100579804,100298022,100300893,100377598
100057208,100360011,100297524,100301051,100371193
100047785,100458225,100298368,100514760,100246271
100066465,100536864,100297637,100200569,100483116
100094468,100579582,100297901,100612006,100105342
100047749,100642091,100299151,100611918,100104717
100103888,100629270,100299037,100612142,100574226
100047741,100257053,100298746,100626978,100172362
100070287,100426821,100298852,100200235,100456767
100103663,100577393,100298187,100200556,100569117
100150736,100628642,100297458,100573226,100046576
100150735,100523439,100298254,100314401,100046026
100116196,100576078,100299098,100314977,100572960
100160159,100427223,100298902,100393154,100572441
100084804,100640801,100298367,100314479,100111352
100094143,100535835,100297830,100591878,100111354
100140891,100372767,100298861,100659417,100374967
100056521,100651608,100297758,100414533,100249425
100056425,100348522,100298601,100591551,100482996
100065818,100347212,100298518,100591821,100322497
100065819,100573570,100298444,100591751,100322489
100047109,100650659,100297465,100591748,100322488
100093708,100651386,100033324,100591893,100290947
100131190,100574539,100033276,100659443,100104849
100121902,100628576,100033342,100314149,100228042
100159482,100360551,100033389,100314809,100077645
100140253,100359722,100033339,100415979,100483763
100111952,100578939,100033326,100346643,100238735
100093304,100359106,100114281,100286904,100278182
100149653,100427031,100298298,100468607,100370417
100065097,100535669,100298314,100627261,100373529
100149598,100535320,100298021,100484456,100067243
100140089,100463623,100298910,100484892,100104669
100149549,100379910,100297775,100484538,100077504
100121294,100579833,100297965,100484604,100113564
100121296,100577199,100299072,100484603,100360269
100093028,100572535,100298465,100344569,100357898
100102266,100574549,100582783,100609879,100418045
100046238,100629207,100582755,100484505,100357612
100130472,100360561,100582253,100501633,100276782
100083580,100577862,100582222,100290155,100238075
100074166,100573043,100084222,100333882,100483659
100139768,100256161,100297747,100289426,100095389
100046125,100641275,100297743,100287833,100067656
100111469,100360049,100264397,100285223,100417636
100102192,100577652,100582238,100288984,100048094
100083401,100357950,100582761,100156595,100019840
100083402,100398957,100582754,100193152,100048202
100055292,100579865,100582228,100591610,100094878
100117076,100182235,100140186,100243976,100377198
100079528,100172373,100093880,100176478,100537219
